country,year,month,week,deaths,expected_deaths,excess_deaths
United States,2020,1,2.0,60710,60757.0,-47.0
United States,2020,1,3.0,59360,60179.0,-819.0
United States,2020,1,4.0,59140,60064.0,-924.0
United States,2020,2,5.0,58800,60821.0,-2021.0
United States,2020,2,6.0,59380,60545.0,-1165.0
United States,2020,2,7.0,58789,60206.0,-1417.0
United States,2020,2,8.0,58877,59837.0,-960.0
United States,2020,3,9.0,59273,59440.0,-167.0
United States,2020,3,10.0,59637,59014.0,623.0
United States,2020,3,11.0,58636,58558.0,78.0
United States,2020,3,12.0,59191,58069.0,1122.0
United States,2020,3,13.0,62971,57547.0,5424.0
United States,2020,4,14.0,72276,56999.0,15277.0
United States,2020,4,15.0,79058,56441.0,22617.0
United States,2020,4,16.0,76757,55891.0,20866.0
United States,2020,4,17.0,73850,55366.0,18484.0
United States,2020,5,18.0,69268,54884.0,14384.0
United States,2020,5,19.0,66764,54459.0,12305.0
United States,2020,5,20.0,64437,54097.0,10340.0
United States,2020,5,21.0,61562,53791.0,7771.0
United States,2020,5,22.0,59614,53538.0,6076.0
United States,2020,6,23.0,58839,53333.0,5506.0
United States,2020,6,24.0,57965,53170.0,4795.0
United States,2020,6,25.0,57915,53045.0,4870.0
United States,2020,6,26.0,58419,52947.0,5472.0
United States,2020,7,27.0,59763,52865.0,6898.0
United States,2020,7,28.0,61837,52788.0,9049.0
United States,2020,7,29.0,63417,52705.0,10712.0
United States,2020,7,30.0,64488,52604.0,11884.0
United States,2020,8,31.0,64479,52482.0,11997.0
United States,2020,8,32.0,63939,52364.0,11575.0
United States,2020,8,33.0,63864,52276.0,11588.0
United States,2020,8,34.0,62700,52246.0,10454.0
United States,2020,8,35.0,61153,52300.0,8853.0
United States,2020,9,36.0,60050,52467.0,7583.0
United States,2020,9,37.0,59227,52747.0,6480.0
United States,2020,9,38.0,59242,53100.0,6142.0
United States,2020,9,39.0,59897,53484.0,6413.0
United States,2020,10,40.0,58652,53858.0,4794.0
United States,2020,10,41.0,60277,54178.0,6099.0
United States,2020,10,42.0,58769,54406.0,4363.0
United States,2020,10,43.0,60204,54559.0,5645.0
United States,2020,11,44.0,61241,54703.0,6538.0
United States,2020,11,45.0,64881,54902.0,9979.0
United States,2020,11,46.0,66378,55223.0,11155.0
United States,2020,11,47.0,68877,55732.0,13145.0
United States,2020,11,48.0,69441,56481.0,12960.0
United States,2020,12,49.0,71642,57420.0,14222.0
United States,2020,12,50.0,72561,58449.0,14112.0
United States,2020,12,51.0,65948,59473.0,6475.0
